Study ID;"Group (0=control group; 1=intervention group)";"Gender (1=male; 2=female)";Age in years (grouped into ranges for anonymization);"Medical Training in a healthcare profession (0=no; 1=yes)";"profession (1=nurse; 2=paramedic; 3=EMT; 4=physiotherapist; 5=orthoptist)";"nursing placement or civil service on a cardiology ward (0=no; 1=yes)";"other practical experience in cv PE (0=no; 1=yes)";"Ward of faculty lead course on PE (1=endocrinology; 2=pneumology; 3=oncology; 4=rheumatology; 5=gastroenterology; 6=Angiology/Cardiology; 7=cardiology; 8=cardiology at heart centre Leipzig)";"Faculty lead PE course on cardiology ward (0=no; 1=yes)";"Same faculty member teaching faculty course in 4 or more of the 5 session (0=no; 1=yes)";"Time for preparation and follow up during faculty lead PE course (1=up to 30 minutes; 2=30-59 minutes; 3=60-120 minutes; 4=more than 120 minutes)";"Preparation for skills examination (0=No preparation; 1=up to 30 minutes; 2=30 to 59 minutes; 3=60-120 minutes; 4=more than 120 minutes)";"Preparation using textbooks  (0=no; 1=yes)";"Preparation using the internet  (0=no; 1=yes)";"Preparation using lecture scripts/lectures (0=no; 1=yes)";"Preparation using other tools/modalities (0=no; 1=yes)";Time difference between simulator training and skills examination in days;Time difference between faculty lead PE skills course and skills examination in days;"Patient interaction: The student greetet the patient  (0=no; 1=yes)";"Patient interaction: The student introduced himself/herself with name  (0=no; 1=yes)";"Patient interaction: The student introduced himself/herself stating his/her function  (0=no; 1=yes)";"Inspection: jugular veins  (0=no; 1=yes)";"Inspection: Edema  (0=no; 1=yes)";"Inspection: skin for signs of cyanosis or anemia  (0=no; 1=yes)";"Inspection: oral mucosa for central cyanosis  (0=no; 1=yes)";"Inspection: signs of dyspnea  (0=no; 1=yes)";"Inspection: finger clubbing  (0=no; 1=yes)";"Inspection: teleangiectasis  (0=no; 1=yes)";"Inspection: peripheral perfusion  (0=no; 1=yes)";"Inspection:  cold sweat (0=no; 1=yes)";"Inspection: Thorax form or deformities  (0=no; 1=yes)";Inspection: Number of findings;"Inspection: Performed at all (0=no; 1=yes)";"Pulses: taking the radial puls  (0=no; 1=yes)";"Pulses: A.radialis bilaterally (0=no; 1=yes)";"Pulses: A.dors pedis bilaterally (0=no; 1=yes)";"Pulses: A.tibialis posterior bilaterally (0=no; 1=yes)";"Pulses: A.carotis bilaterally (0=no; 1=yes)";Number of arteries palpated bilaterally (A. carotis, A. radialis, A. dorsalis pedis, A.tibialis posterior);"Precordial palpation performed correctly (0=no; 1=yes)";"Percussion (cardiac) performed correctly (0=no; 1=yes)";"Auscultation: Erb's point auscultated correctly (0=no; 1=yes)";"Auscultation: Aortic area auscultated correctly (0=no; 1=yes)";"Auscultation: Pulmonary area auscultated correctly (0=no; 1=yes)";"Auscultation: Tricuspid area auscultated correctly (0=no; 1=yes)";"Auscultation: Mitral area auscultated correctly (0=no; 1=yes)";"Auscultation: Named location of Erb's point correctly (0=no; 1=yes)";"Auscultation: Named location of aortic area correctly (0=no; 1=yes)";"Auscultation: Named location of pulmonary area correctly (0=no; 1=yes)";"Auscultation: Named location of tricuspid area correctly (0=no; 1=yes)";"Auscultation: Named location of mitral area correctly (0=no; 1=yes)";Auscultation: Number of areas correct in practice and theory;"Auscultation: Carotid arteries (0=no; 1=yes)";"Auscultation: Left axilla (0=no; 1=yes)";"Auscultation: Uses stethoscope with eartips facing forward (0=no; 1=yes)";"Auscultation: Takes radial pulse during auscultation (0=no; 1=yes)";"Auscultation: Uses both membrane and bell  (0=no; 1=yes)";"Findings: Assesses heart frequency (0=no; 1=yes)";"Findings: Assesses cardiac rhythm  (0=no; 1=yes)";"Findings: Assess heart sounds  (0=no; 1=yes)";"Findings: Assesses presence of murmurs  (0=no; 1=yes)";Patient interaction: points;Inspection: points;Pulses: points;Auscultation: points;Cardiac findings: points;Total points
18;1;Information removed;26 and older;Information removed;Information removed;Information removed;1;Information removed;0;1;1;1;0;0;0;0;61;3;1;1;0;0;0;1;1;0;0;0;0;0;0;2;1;1;1;1;1;1;4;0;0;0;1;1;1;0;0;1;1;1;0;3;1;0;1;0;0;1;1;1;1;0;2;5;5;4;16
19;0;Information removed;23-25;Information removed;Information removed;Information removed;0;Information removed;0;0;1;2;1;0;0;0; ;6;1;1;0;1;1;0;0;0;0;0;0;0;0;2;1;1;1;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;0;1;1;1;1;0;2;2;9;4;17
20;0;Information removed;20-22;Information removed;Information removed;Information removed;0;Information removed;0;1;2;2;1;0;1;0; ;6;1;1;1;0;0;1;0;0;0;0;0;0;1;2;1;1;1;1;1;1;4;1;0;1;1;1;1;1;1;1;1;1;1;5;1;1;1;0;1;1;1;1;1;1;2;5;9;4;22
28;0;Information removed;20-22;Information removed;Information removed;Information removed;0;Information removed;0;0;1;1;0;0;0;0; ;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;1;0;0;1;1;3;6
29;0;Information removed;20-22;Information removed;Information removed;Information removed;1;Information removed;0;1;1;2;0;0;0;1; ;3;1;1;1;0;0;1;0;1;0;0;0;0;0;2;1;1;1;1;1;1;4;1;0;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;0;1;1;1;1;1;2;5;9;4;22
31;1;Information removed;20-22;Information removed;Information removed;Information removed;0;Information removed;0;1;1;1;0;0;0;0;63;6;1;1;0;1;1;1;1;0;1;0;0;0;0;5;1;1;1;1;1;1;4;0;0;1;1;1;1;0;1;1;1;1;0;4;1;0;1;1;1;1;1;1;1;0;3;5;8;4;20
32;0;Information removed;20-22;Information removed;Information removed;Information removed;0;Information removed;0;0;1;2;1;0;1;0; ;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;3;1;0;1;1;1;1;1;1;1;1;1;1;4;1;0;1;0;0;0;1;1;1;0;0;4;6;3;14
33;1;Information removed;26 and older;Information removed;Information removed;Information removed;0;Information removed;0;0;2;2;0;0;0;1;32;3;1;1;1;1;1;1;0;1;1;0;0;0;0;5;1;1;1;1;1;0;3;0;0;0;1;1;1;1;0;1;1;1;1;4;1;1;1;0;0;1;0;1;1;1;3;4;7;3;18
34;1;Information removed;26 and older;Information removed;Information removed;Information removed;0;Information removed;0;0;1;2;0;0;0;1;60;3;1;0;0;1;0;1;1;0;1;0;0;0;0;4;1;1;1;1;0;1;3;1;0;1;1;1;1;1;1;1;1;1;1;5;1;1;1;0;0;1;1;1;0;0;3;4;8;3;19
35;1;Information removed;26 and older;Information removed;Information removed;Information removed;0;Information removed;1;1;1;1;0;0;0;0;47;3;1;1;0;1;1;1;0;0;1;0;0;0;0;4;1;1;1;1;1;1;4;0;0;1;1;1;1;1;1;1;1;1;1;5;1;1;1;0;0;0;0;1;1;0;3;5;8;2;18
36;1;Information removed;20-22;Information removed;Information removed;Information removed;0;Information removed;0;0;2;1;0;0;0;0;60;3;1;1;1;1;1;1;1;0;1;0;0;0;0;5;1;1;1;1;1;1;4;0;0;1;1;1;1;1;1;1;1;1;1;5;1;0;1;0;1;0;0;1;1;1;3;5;8;2;19
37;0;Information removed;20-22;Information removed;Information removed;Information removed;1;Information removed;0;1;1;5;0;0;1;0; ;11;0;0;0;0;0;1;0;1;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;0;4;0;0;0;0;0;0;1;0;1;0;2;1;4;2;9
38;1;Information removed;20-22;Information removed;Information removed;Information removed;0;Information removed;0;1;1;1;0;0;0;0;63;6;1;1;1;1;0;1;1;1;0;0;0;0;0;4;1;1;1;1;0;0;2;1;0;1;1;1;1;1;1;1;1;1;1;5;0;0;1;0;0;1;1;1;1;1;3;3;6;4;18
39;1;Information removed;26 and older;Information removed;Information removed;Information removed;0;Information removed;1;1;2;1;0;0;0;0;42;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;2;0;0;1;0;0;0;0;1;1;1;1;1;1;0;0;1;1;1;0;1;1;1;0;0;3;4;3;10
40;1;Information removed;23-25;Information removed;Information removed;Information removed;0;Information removed;0;1;1;2;1;1;1;1;46;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;4;0;0;0;0;1;1;1;1;1;1;1;1;3;1;1;1;1;0;1;1;1;1;0;0;5;7;4;16
44;1;Information removed;20-22;Information removed;Information removed;Information removed;0;Information removed;1;1;1;1;0;0;0;0;67;3;1;1;0;0;0;1;1;0;0;1;0;0;0;3;1;1;1;1;0;1;3;0;0;0;1;1;1;1;0;1;1;1;1;4;1;0;1;1;0;0;0;1;1;0;3;4;7;2;16
46;0;Information removed;20-22;Information removed;Information removed;Information removed;1;Information removed;1;1;1;1;0;0;0;0; ;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;5;0;0;0;1;0;1;1;0;1;0;0;2;6;3;11
48;1;Information removed;20-22;Information removed;Information removed;Information removed;1;Information removed;1;1;1;1;0;0;0;0;46;3;1;1;1;0;0;1;1;0;1;0;0;0;0;3;1;1;1;1;1;1;4;1;1;0;1;1;1;1;1;1;1;1;1;4;0;0;1;0;0;1;1;1;1;1;3;5;5;4;20
49;0;Information removed;20-22;Information removed;Information removed;Information removed;0;Information removed;1;1;1;2;0;0;0;1; ;3;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;3;0;0;1;1;1;1;1;1;1;1;1;1;5;1;1;1;0;1;1;0;1;1;1;1;4;9;3;18
55;1;Information removed;23-25;Information removed;Information removed;Information removed;0;Information removed;1;1;1;1;0;0;0;0;67;3;1;0;0;1;1;1;0;0;0;0;1;0;0;4;1;1;1;1;0;0;2;0;0;1;1;1;1;0;1;1;1;1;0;4;1;0;0;0;1;0;1;1;1;0;3;3;6;3;15
56;1;Information removed;20-22;Information removed;Information removed;Information removed;0;Information removed;0;1;1;1;0;0;0;0;47;3;1;1;0;1;1;1;1;0;0;0;0;0;0;4;1;1;1;1;1;0;3;0;0;0;1;1;1;0;0;1;1;1;1;3;1;1;1;1;0;1;0;0;1;0;3;4;7;2;16
57;0;Information removed;20-22;Information removed;Information removed;Information removed;0;Information removed;1;1;1;2;1;0;0;0; ;6;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;5;0;0;0;0;0;1;1;0;1;1;0;2;5;3;11
58;1;Information removed;20-22;Information removed;Information removed;Information removed;0;Information removed;0;0;1;2;0;0;0;1;53;3;1;1;1;1;1;1;1;0;1;0;0;0;0;5;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;0;0;1;0;1;1;1;3;5;8;3;22
59;0;Information removed;23-25;Information removed;Information removed;Information removed;0;Information removed;0;1;1;2;1;0;0;0; ;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;4;0;0;1;1;0;1;0;1;0;0;0;0;6;2;8
109;1;Information removed;23-25;Information removed;Information removed;Information removed;0;Information removed;0;0;1;1;0;0;0;0;42;6;1;1;1;1;0;1;0;0;0;0;0;0;0;2;1;1;1;1;1;0;3;1;0;1;1;1;1;1;1;1;1;1;1;5;0;0;1;0;0;1;1;1;1;1;2;4;6;4;18
110;0;Information removed;26 and older;Information removed;Information removed;Information removed;1;Information removed;1;1;1;1;0;0;0;0; ;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;1;1;1;1;1;1;1;3;1;0;1;0;0;1;1;0;1;1;0;2;5;3;11
111;1;Information removed;23-25;Information removed;Information removed;Information removed;0;Information removed;0;0;1;1;0;0;0;0;42;6;1;1;0;1;1;0;0;0;1;0;0;0;0;3;1;1;0;1;0;1;2;1;0;0;1;1;1;1;1;1;1;1;1;4;1;0;1;1;0;1;1;1;1;0;3;3;7;4;18
112;1;Information removed;20-22;Information removed;Information removed;Information removed;0;Information removed;0;0;1;1;0;0;0;0;57;6;0;0;0;0;1;1;0;0;0;0;0;0;0;2;1;1;1;1;1;1;4;1;0;0;0;0;1;1;1;1;1;1;1;2;1;1;1;1;0;0;1;1;1;0;2;5;6;3;17
113;1;Information removed;23-25;Information removed;Information removed;Information removed;0;Information removed;0;0;1;1;0;0;0;0;60;3;1;1;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;1;1;0;2;0;1;1;1;1;1;1;1;1;1;1;1;5;0;0;1;1;0;0;1;1;1;1;1;3;7;3;16
114;0;Information removed;20-22;Information removed;Information removed;Information removed;0;Information removed;0;1;1;1;0;0;0;0; ;6;1;0;0;0;0;1;1;0;0;0;0;0;0;2;1;1;1;1;1;1;4;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;2;5;2;2;11
115;1;Information removed;20-22;Information removed;Information removed;Information removed;0;Information removed;0;1;1;1;0;0;0;0;57;6;1;1;1;1;0;1;1;0;1;0;0;0;0;4;1;1;1;1;1;1;4;0;0;1;1;1;1;0;1;1;1;1;1;4;0;0;1;0;0;0;0;1;0;1;3;5;5;1;15
116;1;Information removed;20-22;Information removed;Information removed;Information removed;0;Information removed;0;1;1;1;0;0;0;0;61;3;1;1;0;0;1;1;0;0;1;0;0;0;0;3;1;1;1;1;1;1;4;0;0;1;1;1;1;1;1;1;1;1;1;5;1;1;1;0;1;1;1;1;1;0;3;5;9;4;21
118;0;Information removed;20-22;Information removed;Information removed;Information removed;0;Information removed;1;1; ;1;0;0;0;0; ;6;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;0;4;0;0;0;0;0;1;0;1;0;1;0;1;4;2;8
119;1;Information removed;23-25;Information removed;Information removed;Information removed;0;Information removed;0;0;1;1;0;0;0;0;57;0;1;1;0;1;1;1;1;1;0;0;0;0;0;5;1;1;1;1;1;1;4;0;0;0;1;1;1;0;1;1;1;1;1;3;1;1;1;0;0;1;1;1;1;0;3;5;6;4;18
120;1;Information removed;20-22;Information removed;Information removed;Information removed;0;Information removed;0;1;1;2;0;0;0;1;63;6;1;1;0;0;1;1;1;0;0;0;0;0;0;3;1;1;1;1;1;1;4;0;0;0;1;1;1;0;0;1;1;1;1;3;1;1;1;0;0;0;0;1;1;0;3;5;6;2;16
163;0;Information removed;20-22;Information removed;Information removed;Information removed;0;Information removed;0;1;1;1;0;0;0;0; ;3;1;1;0;0;1;0;0;1;0;0;0;0;0;2;1;1;1;1;1;0;3;0;0;0;1;1;1;1;0;1;1;1;1;4;1;0;0;1;0;0;0;1;1;0;2;4;6;2;14
165;1;Information removed;20-22;Information removed;Information removed;Information removed;0;Information removed;0;0;1;1;0;0;1;0;63;6;1;1;1;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;1;0;1;0;1;1;1;1;1;2;3;3;10
166;1;Information removed;20-22;Information removed;Information removed;Information removed;0;Information removed;0;1;1;1;0;0;0;0;57;6;1;1;0;1;1;1;1;0;1;0;0;0;0;5;1;1;1;1;1;1;4;0;0;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;0;1;1;1;1;0;3;5;9;4;21
167;0;Information removed;20-22;Information removed;Information removed;Information removed;0;Information removed;0;0;1;2;1;0;0;0; ;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;3;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;1;0;0;0;0;1;1;0;0;4;2;2;8
168;0;Information removed;20-22;Information removed;Information removed;Information removed;0;Information removed;1;1; ;1;0;0;0;0; ;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;0;1;0;1;1;0;1;3;0;0;1;0;0;1;0;0;1;1;0;2;4;2;9
169;0;Information removed;26 and older;Information removed;Information removed;Information removed;0;Information removed;1;1;1;1;0;0;0;0; ;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;3;0;0;1;0;0;0;1;1;1;1;0;0;4;3;8
170;0;Information removed;20-22;Information removed;Information removed;Information removed;0;Information removed;1;0;1;1;0;0;0;0; ;7;1;1;1;0;0;1;0;0;0;0;0;0;1;2;1;1;1;0;0;1;2;0;0;0;1;1;0;0;0;1;1;1;0;2;0;0;1;1;0;0;1;0;1;1;2;3;4;2;12
171;0;Information removed;26 and older;Information removed;Information removed;Information removed;0;Information removed;1;1;1;2;0;0;1;0; ;3;1;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;4;0;0;0;1;1;1;0;0;1;1;1;1;3;0;0;1;0;0;0;0;1;1;0;1;5;4;2;12
172;1;Information removed;20-22;Information removed;Information removed;Information removed;0;Information removed;0;1;1;1;0;0;0;0;61;3;1;1;0;0;0;1;1;0;1;0;0;0;0;3;1;1;1;1;0;0;2;1;0;1;0;1;1;0;0;1;1;1;0;3;1;0;1;1;1;1;0;1;0;0;3;3;7;2;16
173;0;Information removed;26 and older;Information removed;Information removed;Information removed;0;Information removed;1;1;1;1;0;0;0;0; ;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;5;1;1;1;0;0;0;1;1;1;0;0;2;8;3;13
174;1;Information removed;20-22;Information removed;Information removed;Information removed;1;Information removed;1;1;3;1;0;0;0;0;53;3;1;1;1;1;1;1;0;1;1;0;0;0;0;5;1;1;1;1;0;0;2;0;0;1;1;1;1;0;1;1;1;1;1;4;1;1;1;0;0;0;0;1;1;1;3;3;7;2;16
175;1;Information removed;20-22;Information removed;Information removed;Information removed;0;Information removed;1;1;1;1;0;0;0;0;57;6;1;1;1;1;0;1;0;0;1;0;1;0;0;4;1;1;1;1;0;1;3;0;0;1;1;1;1;1;1;1;1;1;0;4;1;0;1;0;0;1;1;1;1;1;3;4;6;4;18
176;1;Information removed;20-22;Information removed;Information removed;Information removed;1;Information removed;0;1;1;1;0;0;0;0;47;3;1;1;0;1;0;1;0;0;0;0;0;0;0;2;1;1;1;1;1;1;4;1;0;0;1;1;1;1;0;1;1;1;1;4;0;0;1;0;0;1;1;1;1;0;2;5;5;4;17
177;1;Information removed;23-25;Information removed;Information removed;Information removed;1;Information removed;0;0;2;2;1;0;0;0;57;0;1;0;0;1;1;1;1;0;1;0;0;0;0;5;1;1;1;1;1;0;3;1;0;1;1;1;1;1;1;1;1;1;1;4;1;1;1;0;0;1;0;1;1;0;3;4;7;3;18
179;0;Information removed;26 and older;Information removed;Information removed;Information removed;0;Information removed;0;1;1;1;0;0;0;0; ;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;1;1;0;1;1;1;1;1;3;0;0;0;0;0;1;0;1;1;1;0;2;3;3;10
180;0;Information removed;20-22;Information removed;Information removed;Information removed;0;Information removed;0;0;1;1;0;0;0;0; ;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;0;0;1;0;1;0;0;2;9;2;13
217;0;Information removed;20-22;Information removed;Information removed;Information removed;0;Information removed;0;0; ;1;0;0;0;0; ;6;1;1;0;0;0;0;0;1;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;1;1;4;0;0;1;0;0;1;0;1;1;0;2;0;5;3;10
218;1;Information removed;20-22;Information removed;Information removed;Information removed;0;Information removed;0;0;1;1;0;0;0;0;57;6;1;1;1;1;1;1;0;0;1;0;0;0;0;4;1;1;1;1;1;1;4;0;0;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;3;5;10;4;23
220;0;Information removed;26 and older;Information removed;Information removed;Information removed;1;Information removed;1;1;1;1;0;0;0;0; ;3;0;0;0;1;1;1;0;0;0;0;0;0;0;3;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;0;1;1;0;1;1;0;3;2;4;3;12
