contry;exp.grp;time;gender;date.birth;prof;drug.use;art.gen;art.cli;def.rct;def.ss;understand;confident1;vocabhard;adapted;full.text;Bbetter;Nbetter;NequalB;Nfound;Bfound;Nfirst;Bfirst;Afirst;Agood.N;Agood.B;Agood.A;Agood.stop;Abad.N;Abad.B;Abad.A;Abad.stop;confident2;impact;similar;want.results
UK;NoSpin004;05/06/2017 - 08:52;F;1970-1979;Researcher/academic professional;Yes;20plus;20plus;7;7;7;7;7;7;6;1;7;3;7;3;6;1;5;6;1;4;1;7;1;1;1;7;5;5;Yes
UK;Spin004;31/05/2017 - 13:35;F;1970-1979;PhD Student;Yes;20plus;11 to 20;7;7;6;6;6;5;7;2;6;2;6;4;5;4;6;4;3;6;5;6;5;3;4;5;3;4;Yes
UK;NoSpin004;31/05/2017 - 15:03;F;1970-1979;Researcher/academic professional;Yes;20plus;11 to 20;7;7;7;7;1;7;7;1;7;2;7;7;1;1;7;1;1;7;1;6;6;7;1;4;4;5;Yes
FR;Spin006;05/06/2017 - 00:24;F;1970-1979;Interne;Yes;1less;1less;6;5;6;6;2;7;2;1;6;1;5;2;2;1;4;2;1;4;7;3;1;2;7;5;4;3;Yes
UK;Spin006;31/05/2017 - 15:09;M;1970-1979;Other Staff in an academic institution;Yes;20plus;20plus;7;6;7;7;3;6;3;1;5;6;4;4;5;4;7;6;4;5;7;6;4;1;6;6;4;4;Yes
UK;NoSpin004;13/06/2017 - 15:18;F;1970-1979;Researcher/academic professional;Yes;20plus;20plus;6;6;7;7;1;6;6;1;7;1;5;2;7;1;1;1;1;7;1;7;1;1;2;6;5;6;No
FR;NoSpin006;30/05/2017 - 13:10;M;1970-1979;Health prof;Yes;20plus;20plus;7;7;7;7;1;3;7;1;1;7;6;6;5;5;1;5;5;3;7;5;5;1;2;5;5;6;Yes
UK;NoSpin006;20/06/2017 - 09:18;M;1970-1979;Other Staff in an academic institution;Yes;1less;1less;6;3;6;6;5;6;2;1;1;7;7;6;7;6;5;6;5;7;2;7;6;2;3;6;6;6;Yes
UK;Spin006;20/06/2017 - 14:20;F;1970-1979;Researcher/academic professional;Yes;11 to 20;6 to 10;6;6;5;5;2;6;4;4;5;6;6;6;5;5;6;3;3;6;4;6;5;2;3;5;3;4;No
UK;Spin006;14/06/2017 - 09:21;F;1970-1979;Other professional;Yes;6 to 10;6 to 10;6;5;7;7;1;7;7;1;7;1;7;1;7;1;1;7;1;1;1;7;1;1;1;7;7;7;Yes
UK;Spin006;20/06/2017 - 10:59;M;1980-1989;Health professional;Yes;20plus;20plus;7;7;7;7;1;5;7;1;7;1;7;7;5;2;7;1;1;7;1;7;3;1;1;5;5;4;Yes
UK;Spin004;05/06/2017 - 20:41;F;1980-1989;PhD Student;Yes;20plus;11 to 20;5;5;6;6;2;4;4;1;7;1;7;7;5;1;7;4;1;7;4;1;1;7;4;6;5;6;No
FR;NoSpin006;23/05/2017 - 15:31;F;1980-1989;Interne;Yes;20plus;20plus;7;7;7;6;1;2;7;1;1;1;7;7;7;7;7;7;7;7;1;7;7;1;1;7;3;7;Yes
UK;NoSpin004;31/05/2017 - 15:29;F;1980-1989;Researcher/academic professional;No;20plus;20plus;7;7;7;7;1;7;1;1;7;1;7;1;1;1;7;1;1;6;7;7;1;1;6;7;4;5;No
UK;NoSpin006;14/06/2017 - 10:04;M;1980-1989;Researcher/academic professional;Yes;20plus;6 to 10;7;7;7;7;1;6;7;1;1;6;2;2;3;3;7;2;2;7;1;6;6;2;1;6;6;6;Yes
UK;NoSpin006;13/06/2017 - 20:57;M;1980-1989;PhD Student;Yes;20plus;20plus;7;7;7;6;3;1;2;4;4;7;1;1;1;1;7;1;1;7;5;1;1;5;7;4;1;5;Yes
UK;NoSpin006;24/05/2017 - 11:29;F;1980-1989;Other Staff in an academic institution;Yes;1 to 5;1less;7;4;7;7;1;7;4;1;1;7;7;7;7;7;1;7;7;1;1;7;7;1;1;5;7;5;Yes
UK;Spin006;19/06/2017 - 17:20;M;1980-1989;PhD Student;No;20plus;20plus;7;7;7;6;3;6;7;1;1;5;5;4;1;1;7;1;1;7;1;6;4;1;7;1;1;6;Yes
FR;Spin006;25/04/2017 - 17:16;M;1980-1989;Other prof;No;NA;20plus;7;7;7;7;1;6;6;1;7;1;6;1;5;1;7;1;1;4;7;7;1;1;4;7;7;7;Yes
FR;Spin004;29/05/2017 - 09:19;M;1980-1989;Health prof;Yes;20plus;20plus;7;7;7;7;1;4;7;1;5;1;5;3;1;1;7;1;1;6;4;5;4;1;2;4;5;7;Yes
UK;Spin006;19/06/2017 - 16:02;F;1980-1989;Researcher/academic professional;Yes;20plus;20plus;6;7;7;7;1;5;3;1;5;3;4;2;2;1;6;1;1;7;1;4;2;1;4;4;2;4;No
FR;Spin004;09/05/2017 - 11:27;F;1980-1989;Health prof;Yes;11 to 20;11 to 20;7;7;7;7;1;6;4;1;7;1;7;1;5;1;7;5;1;7;1;6;1;1;1;3;1;6;Yes
FR;NoSpin004;29/05/2017 - 14:57;F;1980-1989;Health prof;Yes;20plus;20plus;5;7;7;7;7;7;3;1;6;1;5;5;2;2;7;2;2;2;6;5;5;5;6;3;3;6;No
FR;Spin006;15/05/2017 - 23:12;F;1980-1989;Health student;Yes;20plus;11 to 20;7;7;7;7;1;1;7;1;1;5;7;7;1;1;7;1;1;7;1;5;3;1;1;3;1;5;Yes
UK;Spin004;24/05/2017 - 05:50;F;1980-1989;Researcher/academic professional;Yes;20plus;20plus;7;7;7;7;2;5;6;1;7;1;7;5;7;4;7;3;1;7;1;7;1;3;1;5;6;6;Yes
FR;NoSpin004;17/05/2017 - 12:28;F;1980-1989;Interne;Yes;20plus;20plus;7;7;7;7;1;7;2;1;7;1;7;4;7;7;7;1;1;7;1;7;4;1;1;6;6;7;Yes
FR;NoSpin006;29/05/2017 - 16:21;F;1980-1989;Interne;Yes;20plus;20plus;7;7;7;7;2;6;7;1;1;1;5;5;2;2;7;3;3;5;7;4;4;1;7;4;4;6;Yes
FR;Spin006;25/05/2017 - 20:22;F;1980-1989;Health prof;Yes;20plus;20plus;7;7;7;7;2;5;6;1;1;4;6;2;1;1;7;1;1;7;1;7;1;1;1;4;3;6;Yes
FR;NoSpin006;24/05/2017 - 10:39;M;1980-1989;Health prof;Yes;20plus;20plus;7;7;7;7;1;5;7;1;1;6;6;6;7;4;3;7;5;1;6;7;6;1;6;5;6;6;Yes
FR;Spin004;26/04/2017 - 17:04;M;1980-1989;Interne;Yes;20plus;20plus;7;7;6;6;1;5;7;1;1;3;3;3;7;7;3;5;5;6;1;7;7;1;1;3;1;7;Yes
FR;NoSpin004;26/05/2017 - 12:47;F;1980-1989;Health prof;Yes;1 to 5;1 to 5;6;6;7;6;1;6;5;1;7;1;6;5;6;5;7;1;1;7;7;6;4;3;7;6;6;6;Yes
FR;Spin004;27/05/2017 - 15:24;F;1980-1989;Interne;No;20plus;20plus;6;6;6;6;2;6;6;2;6;2;6;2;2;2;2;2;2;4;6;6;2;2;2;6;6;6;Yes
FR;Spin006;08/06/2017 - 11:25;M;1980-1989;Interne;Yes;20plus;20plus;7;7;7;6;1;6;7;1;5;7;6;6;5;5;7;1;1;7;1;5;5;1;4;4;2;6;Yes
UK;NoSpin004;31/05/2017 - 13:22;F;1980-1989;Researcher/academic professional;Yes;20plus;20plus;7;7;7;7;1;7;6;1;7;4;7;5;5;3;7;5;3;6;7;7;6;1;4;6;4;4;Yes
UK;NoSpin006;06/06/2017 - 16:55;F;1980-1989;Researcher/academic professional;Yes;20plus;20plus;7;7;6;5;5;3;5;3;6;3;6;4;6;4;5;5;4;6;4;6;4;5;4;5;3;5;Yes
UK;Spin006;02/06/2017 - 16:01;F;1980-1989;Researcher/academic professional;Yes;20plus;11 to 20;7;7;7;6;2;3;5;3;5;3;5;5;5;4;3;3;3;5;4;5;3;2;4;5;5;5;No
FR;Spin004;13/06/2017 - 11:51;F;1980-1989;Interne;Yes;20plus;20plus;7;7;7;6;5;1;7;3;3;1;1;1;1;1;7;1;1;6;1;6;4;1;1;1;1;5;Yes
FR;Spin004;17/05/2017 - 14:51;F;1980-1989;Interne;No;20plus;11 to 20;5;6;7;6;2;4;1;1;1;5;1;1;3;3;5;2;2;4;7;2;2;4;6;1;1;5;Yes
FR;NoSpin006;17/05/2017 - 13:47;F;1980-1989;Interne;Yes;20plus;20plus;7;7;7;7;2;6;5;1;1;7;7;5;4;4;7;4;4;6;2;6;6;1;3;3;5;7;Yes
FR;Spin006;04/05/2017 - 14:06;F;1980-1989;Health student;Yes;1 to 5;1 to 5;5;6;6;6;1;7;1;1;1;7;1;1;4;4;7;1;1;3;4;5;5;1;5;1;1;1;Yes
FR;Spin004;19/06/2017 - 11:03;F;1980-1989;Interne;Yes;6 to 10;6 to 10;7;7;7;6;2;1;4;1;7;1;7;1;1;1;7;1;1;7;1;5;1;1;5;4;4;6;Yes
FR;Spin004;24/05/2017 - 09:30;M;1980-1989;Interne;Yes;20plus;20plus;7;7;6;6;1;2;7;1;1;7;7;7;7;7;1;7;7;1;1;7;7;1;1;2;1;7;Yes
FR;NoSpin006;08/05/2017 - 16:31;M;1980-1989;Interne;Yes;20plus;20plus;7;7;7;7;1;6;3;1;1;7;7;7;1;1;7;1;1;7;1;1;1;5;5;7;3;7;Yes
FR;NoSpin004;29/05/2017 - 23:32;F;1980-1989;Health prof;No;20plus;11 to 20;7;7;6;6;2;6;4;1;7;1;7;3;6;2;4;7;1;7;7;7;2;1;5;5;6;6;Yes
FR;Spin006;13/06/2017 - 14:41;F;1980-1989;Health prof;No;11 to 20;11 to 20;5;5;7;6;4;7;3;1;7;1;7;6;1;1;6;6;4;1;7;7;1;1;5;4;5;7;No
FR;NoSpin004;13/06/2017 - 18:16;M;1980-1989;Health prof;Yes;11 to 20;1 to 5;5;7;6;6;4;6;1;1;6;1;6;4;6;3;7;5;2;7;1;7;5;2;1;2;5;4;Yes
UK;NoSpin004;01/06/2017 - 11:02;F;1980-1989;Researcher/academic professional;No;20plus;20plus;7;7;7;7;1;6;7;1;1;7;1;1;1;1;1;1;1;7;1;1;1;1;7;5;7;6;No
UK;Spin004;20/06/2017 - 21:28;M;1980-1989;Post graduate student;Yes;20plus;20plus;7;7;7;5;3;6;7;1;6;3;5;4;7;4;1;5;3;4;6;6;5;2;2;2;6;7;Yes
FR;Spin004;28/04/2017 - 18:32;M;1980-1989;Health prof;Yes;1 to 5;1 to 5;4;6;4;6;6;7;1;3;6;2;5;6;3;2;6;6;5;3;1;6;5;1;5;2;7;5;No
FR;Spin006;19/05/2017 - 20:11;F;1980-1989;Health prof;Yes;1less;1less;7;6;7;6;2;3;4;1;7;3;6;6;6;3;7;6;1;5;7;7;3;1;5;3;4;6;No
FR;NoSpin004;18/05/2017 - 12:27;F;1980-1989;Health prof;Yes;20plus;11 to 20;7;7;7;7;1;5;4;1;5;2;6;3;4;3;7;3;2;5;4;6;5;2;2;6;5;6;Yes
FR;NoSpin006;23/05/2017 - 20:12;F;1980-1989;Interne;Yes;1 to 5;1 to 5;4;4;7;5;2;7;4;1;1;5;7;7;1;1;7;1;1;7;7;4;4;1;5;6;4;6;Yes
FR;Spin004;28/05/2017 - 20:08;M;1980-1989;Interne;Yes;20plus;20plus;7;7;7;7;1;7;7;1;7;1;7;6;1;1;1;1;1;7;1;1;1;1;1;4;2;7;Yes
FR;NoSpin006;07/05/2017 - 19:55;F;1980-1989;Health student;Yes;6 to 10;6 to 10;7;7;7;7;1;3;7;1;1;7;1;1;1;1;7;1;1;3;7;1;1;1;7;1;1;1;Yes
FR;NoSpin006;21/05/2017 - 20:38;M;1980-1989;Interne;No;1 to 5;1 to 5;7;7;6;6;6;6;7;1;1;7;1;1;1;1;7;1;1;1;7;1;1;1;7;4;1;5;No
FR;Spin006;19/05/2017 - 20:48;F;1980-1989;Interne;No;20plus;20plus;7;7;7;6;6;2;7;1;1;7;3;3;1;1;5;3;3;3;7;3;3;1;7;1;1;7;No
FR;NoSpin006;04/06/2017 - 15:02;M;1980-1989;Health prof;Yes;1 to 5;1 to 5;6;6;5;6;2;5;1;2;2;6;7;1;1;1;7;1;1;7;1;7;1;1;7;3;3;5;Yes
FR;NoSpin004;23/05/2017 - 15:59;F;1980-1989;Interne;Yes;11 to 20;11 to 20;7;5;7;6;2;2;7;1;7;1;7;3;5;1;7;5;1;7;2;6;3;1;4;5;4;6;Yes
UK;Spin004;23/05/2017 - 11:51;F;1980-1989;Researcher/academic professional;Yes;20plus;20plus;7;7;7;7;1;4;7;1;7;1;7;1;6;1;6;1;1;5;6;5;1;1;2;4;3;4;Yes
UK;Spin004;24/05/2017 - 14:22;F;1980-1989;Researcher/academic professional;Yes;11 to 20;1 to 5;5;7;7;6;2;5;5;1;6;3;6;4;7;2;2;4;3;5;6;6;5;1;6;4;2;2;Yes
UK;NoSpin004;24/05/2017 - 13:28;M;1980-1989;Researcher/academic professional;No;11 to 20;11 to 20;7;7;7;6;2;7;2;3;6;2;6;3;5;3;6;2;2;3;6;4;3;2;6;6;6;6;Yes
UK;NoSpin006;12/06/2017 - 12:03;F;1980-1989;Researcher/academic professional;Yes;20plus;6 to 10;6;7;6;6;2;5;6;1;1;6;6;6;6;6;4;5;5;5;4;6;6;1;5;5;5;4;Yes
UK;Spin004;13/06/2017 - 14:03;F;1980-1989;Researcher/academic professional;Yes;20plus;11 to 20;7;7;7;7;6;7;3;1;7;1;7;7;6;1;7;1;1;1;7;7;1;1;1;4;7;7;Yes
UK;NoSpin006;14/06/2017 - 11:31;F;1980-1989;Researcher/academic professional;Yes;20plus;20plus;7;7;7;7;1;7;7;1;1;7;5;5;6;6;7;2;2;7;5;6;6;5;1;7;7;7;Yes
FR;Spin006;04/05/2017 - 10:26;M;1990-1999;Health student;No;20plus;20plus;7;7;7;6;1;5;6;1;5;1;7;6;4;3;5;5;4;6;7;6;5;1;3;5;4;5;Yes
FR;Spin006;29/05/2017 - 14:16;F;1990-1999;Interne;Yes;20plus;20plus;7;5;7;7;1;5;7;2;6;6;6;2;3;3;6;3;3;6;1;6;4;1;1;1;2;6;Yes
FR;Spin006;17/05/2017 - 20:21;F;1990-1999;Interne;Yes;20plus;20plus;2;1;7;7;2;2;3;1;1;1;6;3;2;2;5;1;1;4;4;2;2;2;5;2;1;5;No
FR;Spin004;29/05/2017 - 15:58;M;1990-1999;Interne;Yes;6 to 10;6 to 10;6;5;6;6;3;5;2;1;5;2;1;1;1;1;7;1;1;7;4;2;1;5;5;1;1;3;Yes
FR;Spin006;10/06/2017 - 16:48;F;1990-1999;Interne;Yes;6 to 10;6 to 10;7;7;7;7;3;7;5;3;4;2;5;3;5;3;4;3;4;4;5;6;5;2;3;4;5;7;No
FR;Spin004;09/06/2017 - 21:27;M;1990-1999;Interne;No;6 to 10;6 to 10;6;7;6;6;2;7;7;1;1;7;1;1;1;1;7;1;1;7;4;1;1;1;7;3;1;5;Yes
FR;Spin004;11/05/2017 - 22:27;F;1990-1999;Interne;Yes;1 to 5;1less;6;6;7;6;2;7;7;1;7;1;7;5;5;1;7;3;1;6;2;4;1;1;6;4;3;7;Yes
FR;Spin006;02/05/2017 - 15:44;F;1990-1999;Health prof;Yes;6 to 10;11 to 20;6;6;6;6;3;4;3;2;4;4;6;4;2;4;5;5;2;5;2;6;3;3;2;3;2;5;Yes
FR;NoSpin004;24/05/2017 - 15:59;F;1990-1999;Interne;Yes;1 to 5;1 to 5;4;4;6;6;2;2;6;2;3;2;6;2;4;2;6;5;4;4;2;5;4;1;3;2;2;4;Yes
FR;Spin006;22/05/2017 - 09:07;M;1990-1999;Other prof;Yes;20plus;20plus;7;7;4;4;5;3;7;5;3;4;1;5;1;1;7;1;1;5;6;2;2;4;7;1;1;1;Yes
FR;Spin004;13/06/2017 - 17:51;M;1990-1999;Interne;Yes;20plus;20plus;7;7;7;7;1;7;1;1;7;1;7;1;7;1;7;1;1;1;7;1;1;1;7;1;1;7;Yes
UK;NoSpin006;13/06/2017 - 14:17;F;1990-1999;PhD Student;Yes;20plus;20plus;7;7;7;7;6;7;7;1;1;1;4;4;1;1;1;4;4;4;4;5;5;2;4;4;4;5;Yes
UK;Spin004;31/05/2017 - 12:49;F;1990-1999;PhD Student;No;20plus;20plus;7;7;7;6;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;No
FR;NoSpin006;26/04/2017 - 10:12;F;1990-1999;Health student;Yes;NA;1 to 5;6;6;7;7;2;2;6;2;2;6;6;6;6;6;7;1;1;7;1;7;7;1;1;6;1;3;Yes
FR;Spin004;25/05/2017 - 09:55;F;1990-1999;Interne;Yes;1 to 5;1 to 5;7;7;6;6;2;6;3;1;7;1;6;3;6;2;7;6;3;7;1;7;3;3;1;6;6;6;Yes
FR;NoSpin006;29/05/2017 - 13:38;F;1990-1999;Health prof;No;1 to 5;1 to 5;7;7;6;5;3;7;1;1;1;7;1;1;1;1;1;1;1;1;7;1;1;1;7;6;5;5;Yes
FR;Spin006;23/05/2017 - 21:50;F;1990-1999;Interne;Yes;11 to 20;11 to 20;7;7;7;7;2;6;2;1;2;5;6;5;1;1;1;1;1;1;3;1;1;1;3;2;1;7;Yes
FR;NoSpin004;24/05/2017 - 11:04;F;1990-1999;Interne;Yes;20plus;20plus;7;7;7;7;1;4;7;1;3;1;7;7;1;1;7;1;1;1;7;6;2;1;1;2;1;7;Yes
FR;Spin006;06/05/2017 - 17:49;M;1990-1999;Health prof;Yes;20plus;20plus;7;7;6;6;2;7;1;1;7;1;1;1;1;1;1;1;1;7;1;1;1;1;7;1;1;7;Yes
FR;Spin004;24/05/2017 - 16:49;F;1990-1999;Interne;Yes;6 to 10;6 to 10;7;7;7;7;1;5;1;1;7;5;7;6;1;1;7;1;1;6;1;7;7;1;1;5;1;7;Yes
FR;Spin006;23/05/2017 - 16:02;F;1990-1999;Interne;Yes;20plus;20plus;7;7;7;7;1;7;3;1;7;1;3;7;6;2;5;7;2;4;3;7;2;1;4;6;4;7;Yes
UK;Spin006;19/06/2017 - 15:40;F;1990-1999;PhD Student;No;20plus;20plus;7;7;7;7;1;7;7;3;7;3;7;7;4;4;2;3;3;2;7;5;4;1;7;5;5;7;Yes
UK;NoSpin004;31/05/2017 - 14:14;F;1990-1999;Researcher/academic professional;Yes;20plus;20plus;7;6;6;6;2;7;6;3;5;2;6;5;6;5;5;4;3;6;2;6;5;1;2;4;5;7;Yes
UK;Spin004;13/06/2017 - 17:51;F;1990-1999;PhD Student;Yes;20plus;11 to 20;7;7;7;6;6;5;7;3;6;3;6;4;6;3;5;5;3;6;3;6;5;3;6;5;3;3;Yes
FR;NoSpin006;11/05/2017 - 11:46;F;1990-1999;Health student;No;11 to 20;20plus;4;4;6;6;3;6;3;2;5;7;5;4;3;3;7;1;1;7;1;4;4;1;5;4;4;6;No
FR;NoSpin004;01/05/2017 - 19:02;F;1990-1999;Health student;No;11 to 20;11 to 20;7;7;7;6;1;4;2;1;1;1;1;1;1;1;5;1;1;1;7;1;1;1;7;1;1;4;Yes
FR;Spin004;22/05/2017 - 17:19;F;1990-1999;Health student;Yes;6 to 10;6 to 10;7;7;7;7;1;7;7;2;5;2;7;4;4;3;7;1;1;7;7;5;3;1;7;4;5;7;Yes
FR;NoSpin006;19/05/2017 - 20:31;M;1990-1999;Health prof;Yes;6 to 10;6 to 10;5;7;5;6;4;6;3;1;1;4;4;4;5;5;5;5;5;3;4;6;6;1;2;2;2;6;Yes
FR;NoSpin006;28/04/2017 - 10:20;F;1990-1999;Health student;Yes;11 to 20;1 to 5;7;7;6;5;2;7;6;1;1;7;7;7;2;2;7;2;2;7;1;7;7;1;1;5;5;7;No
FR;Spin004;18/05/2017 - 19:34;F;1990-1999;Health student;Yes;6 to 10;1 to 5;7;5;7;6;2;6;7;1;5;2;6;2;4;2;7;3;2;5;1;6;4;3;1;4;2;5;Yes
FR;NoSpin006;09/06/2017 - 14:15;F;1990-1999;Interne;Yes;11 to 20;11 to 20;6;7;7;7;1;6;7;1;1;6;6;3;2;2;6;1;1;6;4;5;5;3;3;3;3;6;Yes
FR;NoSpin004;06/06/2017 - 15:21;F;1990-1999;Health student;No;1 to 5;1less;7;7;7;7;1;7;4;1;7;1;7;1;3;1;1;4;2;2;4;4;2;2;4;6;6;6;Yes
FR;NoSpin004;28/05/2017 - 11:56;M;1990-1999;Interne;Yes;20plus;11 to 20;7;7;7;7;1;5;7;1;4;1;4;4;4;4;7;1;1;7;5;4;4;1;7;4;1;3;Yes
FR;NoSpin006;29/05/2017 - 14:00;F;1990-1999;Interne;Yes;20plus;20plus;6;5;6;6;4;6;5;2;2;2;5;5;5;5;6;5;5;5;6;6;6;3;5;5;4;3;Yes
UK;Spin006;19/06/2017 - 16:46;F;1990-1999;PhD Student;Yes;11 to 20;1 to 5;2;7;6;6;1;7;6;1;4;1;7;4;7;6;5;5;4;6;1;7;6;3;1;6;6;7;Yes
UK;Spin004;06/06/2017 - 08:59;F;1990-1999;PhD Student;No;20plus;1less;6;6;7;6;2;6;5;1;7;2;7;4;4;1;4;3;1;6;6;6;1;1;6;6;6;6;Yes
FR;Spin004;04/05/2017 - 14:30;M;1990-1999;Other student;No;20plus;1 to 5;7;7;7;7;1;6;3;1;6;1;6;1;1;1;1;7;1;2;1;6;1;1;1;6;2;1;Yes
FR;NoSpin004;16/05/2017 - 07:40;M;1990-1999;Health student;No;6 to 10;6 to 10;7;7;7;7;1;2;7;1;1;1;4;4;1;1;1;4;4;1;7;4;4;1;7;2;1;7;Yes
FR;Spin006;19/05/2017 - 08:52;F;1990-1999;Interne;Yes;6 to 10;11 to 20;7;7;5;4;2;7;1;1;7;1;7;5;7;1;5;7;3;6;1;7;1;3;1;5;5;7;Yes
FR;Spin006;21/05/2017 - 21:56;F;1990-1999;Health student;Yes;11 to 20;11 to 20;3;3;7;7;2;7;2;1;7;1;6;2;2;1;1;2;1;1;6;1;1;1;7;6;5;6;Yes
FR;Spin004;05/05/2017 - 16:10;F;1990-1999;Health student;No;6 to 10;6 to 10;3;4;7;5;4;3;6;1;7;1;7;4;5;3;7;4;1;3;5;4;1;1;6;3;3;7;Yes
FR;NoSpin006;26/04/2017 - 13:09;M;1990-1999;Health student;Yes;11 to 20;6 to 10;7;7;7;7;2;7;3;1;1;1;5;3;4;2;5;1;1;7;1;6;1;1;1;6;6;6;Yes
FR;Spin004;23/05/2017 - 22:19;M;1990-1999;Health student;Yes;11 to 20;11 to 20;7;7;7;6;5;4;2;1;5;1;7;1;7;1;1;7;1;1;1;7;1;1;1;2;4;5;Yes
FR;Spin004;01/06/2017 - 12:17;F;1990-1999;Health student;Yes;1 to 5;1less;2;7;6;4;3;7;1;1;7;1;7;1;1;1;7;1;1;7;7;5;1;5;6;5;6;7;No
FR;Spin004;02/06/2017 - 23:02;F;1990-1999;Health student;Yes;20plus;20plus;7;7;7;6;1;6;6;1;6;1;6;2;4;1;4;1;1;6;1;5;1;1;1;5;5;6;Yes
FR;NoSpin006;31/05/2017 - 14:45;F;1990-1999;Health student;Yes;11 to 20;11 to 20;7;7;7;7;1;7;7;1;3;7;4;1;1;1;7;1;1;5;7;6;3;1;1;2;2;5;Yes
FR;Spin006;25/04/2017 - 22:00;F;1990-1999;Health student;Yes;NA;20plus;5;6;6;5;4;7;1;1;7;1;6;2;7;1;5;5;1;6;1;6;1;1;2;7;4;7;No
FR;Spin006;09/05/2017 - 15:13;F;1990-1999;Health student;Yes;1 to 5;1less;1;1;4;4;5;3;1;1;7;1;7;7;1;1;4;1;1;7;6;6;6;1;1;2;3;1;Yes
FR;NoSpin006;17/05/2017 - 18:06;F;1990-1999;Interne;Yes;20plus;20plus;7;7;7;7;1;5;7;1;1;5;4;4;4;4;4;4;4;4;1;6;6;3;1;6;5;7;Yes
FR;NoSpin006;25/04/2017 - 16:47;F;1990-1999;Health student;Yes;NA;1less;7;5;7;7;1;3;7;1;1;5;4;4;4;4;4;4;4;4;2;5;5;3;3;4;4;5;No
FR;NoSpin004;18/06/2017 - 09:40;F;1990-1999;Health student;Yes;1 to 5;1less;4;5;6;6;2;5;3;2;6;2;5;3;3;5;5;4;2;3;1;5;2;1;3;2;3;6;No
FR;Spin004;08/05/2017 - 13:07;M;1990-1999;Health student;Yes;1 to 5;1 to 5;6;5;7;7;6;7;3;1;7;1;7;1;7;1;1;7;1;1;1;7;1;1;1;4;4;5;Yes
FR;NoSpin006;08/05/2017 - 15:14;F;1990-1999;Health student;Yes;20plus;6 to 10;7;7;7;7;1;7;1;1;1;1;1;1;1;1;1;1;1;7;4;1;1;5;4;1;1;7;No
